"instancia";"dim";"config";"rep";"resultado"
24;105;1;1;43044,2028216141
24;105;1;2;41698,3145742941
24;105;1;3;35420,6582019015
24;105;1;4;30464,4695023087
24;105;1;5;32795,8038806788
24;105;1;6;46470,4893833284
24;105;1;7;37163,1820730405
24;105;1;8;37521,7436137461
24;105;1;9;34055,37275153
24;105;1;10;41154,5902774875
24;105;1;11;41101,4070074804
24;105;1;12;40852,8648904613
24;105;1;13;47566,0126986474
24;105;1;14;44033,2245623056
24;105;1;15;51424,2004876981
24;105;1;16;38030,262516223
24;105;1;17;41215,3459193795
24;105;1;18;36906,4412662326
24;105;1;19;23440,7819703472
24;105;1;20;42888,9419120197
24;105;1;21;44080,133390186
24;105;1;22;35019,6035517512
24;105;1;23;40212,6958649326
24;105;1;24;27517,8837315049
24;105;1;25;36787,4320765626
24;105;1;26;44826,2851862528
24;105;1;27;30441,0177454352
24;105;1;28;52356,8526827918
24;105;1;29;33718,9119448947
24;105;1;30;44529,181588252
24;105;2;1;6993058,69434578
24;105;2;2;7913274,86434571
24;105;2;3;7012873,14077047
24;105;2;4;7521182,86255353
24;105;2;5;7015980,97823101
24;105;2;6;7523005,93913489
24;105;2;7;7744828,69691504
24;105;2;8;7235860,98667303
24;105;2;9;7680281,96040345
24;105;2;10;6219252,07542887
24;105;2;11;7586216,1628977
24;105;2;12;7172924,41903435
24;105;2;13;8206486,02727441
24;105;2;14;5876415,11610156
24;105;2;15;8132690,69025593
24;105;2;16;7704426,78893481
24;105;2;17;7341309,47431489
24;105;2;18;7111705,78162833
24;105;2;19;7489394,29807786
24;105;2;20;7715701,90365546
24;105;2;21;6663306,10592481
24;105;2;22;8210007,39446664
24;105;2;23;6765446,26352812
24;105;2;24;8060132,74868033
24;105;2;25;7914362,1594478
24;105;2;26;8417802,85431636
24;105;2;27;6727321,89667666
24;105;2;28;6977439,52455618
24;105;2;29;7343365,42908264
24;105;2;30;7099564,21869791
25;110;1;1;36793,6481365867
25;110;1;2;43785,4895359309
25;110;1;3;51722,4915801936
25;110;1;4;59324,266786793
25;110;1;5;42629,561999559
25;110;1;6;70943,7878331914
25;110;1;7;42191,7575711126
25;110;1;8;67566,4909062853
25;110;1;9;38919,5581299367
25;110;1;10;71094,1253019837
25;110;1;11;67347,061116023
25;110;1;12;46910,6361041058
25;110;1;13;43014,0881483779
25;110;1;14;30865,0806398065
25;110;1;15;40156,6791787505
25;110;1;16;30118,4149357263
25;110;1;17;49216,7655453768
25;110;1;18;54125,956930531
25;110;1;19;63132,1379853333
25;110;1;20;41309,3408941532
