"instancia";"dim";"config";"rep";"resultado"
1;2;1;1;0
1;2;1;2;0
1;2;1;3;0
1;2;1;4;0
1;2;1;5;0
1;2;1;6;0
1;2;1;7;0
1;2;1;8;0
1;2;1;9;0
1;2;1;10;0
1;2;1;11;0
1;2;1;12;0
1;2;1;13;0
1;2;1;14;0
1;2;1;15;0
1;2;1;16;0
1;2;1;17;0
1;2;1;18;0
1;2;1;19;0
1;2;1;20;0
1;2;1;21;0
1;2;1;22;0
1;2;1;23;0
1;2;1;24;0
1;2;1;25;0
1;2;1;26;0
1;2;1;27;0
1;2;1;28;0
1;2;1;29;0
1;2;1;30;0
1;2;2;1;0,172137510913515
1;2;2;2;1,60747148169243
1;2;2;3;0,20179914570351
1;2;2;4;7,02042479069513
1;2;2;5;14,2557004985859
1;2;2;6;5,43680738584516
1;2;2;7;3,8384681786386
1;2;2;8;2,58199958923655
1;2;2;9;12,8789298286859
1;2;2;10;13,9304729960561
1;2;2;11;2,10593977063102
1;2;2;12;1,03041434011509
1;2;2;13;54,0923215531358
1;2;2;14;2,15435040236481
1;2;2;15;1,11673085306782
1;2;2;16;0,405597932206224
1;2;2;17;0,849618694076977
1;2;2;18;1,2615878848834
1;2;2;19;5,27106981169409
1;2;2;20;1,76581653690621
1;2;2;21;4,66118502679586
1;2;2;22;0,0732414092786796
1;2;2;23;22,6464146785523
1;2;2;24;23,9241392290189
1;2;2;25;2,54322836858695
1;2;2;26;0,967454529484168
1;2;2;27;0,91582402415705
1;2;2;28;0,412755420152112
1;2;2;29;0,287048306631935
1;2;2;30;30,7468782917405
2;6;1;1;3,55968020442683e-05
2;6;1;2;5,48374795063898e-05
2;6;1;3;0,0176287250929511
2;6;1;4;7,02662507515779e-07
2;6;1;5;5,62689610690849e-07
2;6;1;6;0,000260427223987572
2;6;1;7;1,24010707850344e-05
2;6;1;8;3,67947836629647e-06
2;6;1;9;8,83853367465128e-06
2;6;1;10;5,92503070181441e-05
2;6;1;11;1,29888051714085e-05
2;6;1;12;4,10731605184044e-08
2;6;1;13;9,38268040509261e-06
2;6;1;14;0,832749306614824
2;6;1;15;4,77792307764841e-06
2;6;1;16;3,02712073663943e-06
2;6;1;17;9,75032176359788e-07
2;6;1;18;1,34880942918072e-05
2;6;1;19;2,94190104161331e-07
2;6;1;20;3,52469666415869e-06
2;6;1;21;5,68179543896266e-05
2;6;1;22;6,34184692144741e-06
2;6;1;23;1,12210905767085e-05
2;6;1;24;0,468940830532636
2;6;1;25;2,57923530340447e-05
2;6;1;26;2,45006733685867e-05
2;6;1;27;2,4438879091511e-06
2;6;1;28;0,000140181540086625
2;6;1;29;8,85175925046799e-06
2;6;1;30;3,52795152570157e-06
2;6;2;1;196,621319753842
2;6;2;2;1104,79334900542
2;6;2;3;63,7290620742442
2;6;2;4;640,466475988586
2;6;2;5;1578,46722554461
2;6;2;6;495,310266753036
2;6;2;7;15,9465520600944
2;6;2;8;16749,8371580498
2;6;2;9;390,054203740241
2;6;2;10;214,809656047399
2;6;2;11;470,920238574358
2;6;2;12;35,0214919650056
2;6;2;13;107,603581109789
2;6;2;14;196,844223042239
2;6;2;15;24,4790889516429
2;6;2;16;81,9320813101104
2;6;2;17;1089,4809342818
2;6;2;18;309,841398766088
2;6;2;19;104,93422033468
2;6;2;20;91,7091944746106
2;6;2;21;1100,6934871857
2;6;2;22;226,875998107845
2;6;2;23;30,5715767291342
2;6;2;24;1054,91172111958
2;6;2;25;4577,23683709056
2;6;2;26;13,663044881679
2;6;2;27;1408,43059597973
2;6;2;28;307,893455670082
2;6;2;29;2673,34761933967
2;6;2;30;2727,36886144205
3;11;1;1;5,20273586857963
3;11;1;2;6,96234572608367
3;11;1;3;6,28237737965228
3;11;1;4;6,21451311162349
3;11;1;5;4,49333334987115
3;11;1;6;7,56103147239603
3;11;1;7;7,44036748427738
3;11;1;8;6,59755444859133
3;11;1;9;6,90414673184532
3;11;1;10;8,90859391176769
3;11;1;11;6,50584251327162
3;11;1;12;7,36854403886341
3;11;1;13;6,48616707579926
3;11;1;14;5,15711607681739
3;11;1;15;6,74270907550411
3;11;1;16;5,31828709992951
3;11;1;17;7,2650722945024
3;11;1;18;7,48502587712495
3;11;1;19;9,09113228636585
3;11;1;20;4,96236542092649
3;11;1;21;6,1243377124102
3;11;1;22;8,55621843692715
3;11;1;23;7,88035849325131
3;11;1;24;8,2262461398823
3;11;1;25;6,12054338105623
3;11;1;26;7,47184269152787
3;11;1;27;6,87658819899753
3;11;1;28;6,78504835915696
